,Loss func,Func params,Num observations,Learn rate,Init w1,Init w2,Init bias,break good,break bad,Num iterations,w1 delta,w2 delta,bias delta,loss / num obs,loss,w1,w2,bias
119,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,-0.1,10.0,False,False,9999,-0.007,0.0,-1.838,1.87,1870.065,2.007,-3.0,6.838
120,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,0.1,-10.0,False,False,9999,0.014,-0.015,5.522,15.333,15332.637,1.986,-2.985,-0.522
121,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,0.1,-0.1,False,False,9999,0.004,-0.008,1.879,1.9,1899.567,1.996,-2.992,3.121
122,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,0.1,0.1,False,False,9999,0.003,-0.007,1.805,1.765,1764.939,1.997,-2.993,3.195
123,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,0.1,10.0,False,False,9999,-0.007,0.0,-1.838,1.87,1869.805,2.007,-3.0,6.838
124,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,10.0,-10.0,False,False,9999,0.014,-0.015,5.529,15.371,15371.082,1.986,-2.985,-0.529
125,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,10.0,-0.1,False,False,9999,0.004,-0.008,1.885,1.913,1912.606,1.996,-2.992,3.115
126,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,10.0,0.1,False,False,9999,0.003,-0.007,1.812,1.777,1777.465,1.997,-2.993,3.188
127,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-07,10.0,10.0,10.0,False,False,9999,-0.007,-0.001,-1.831,1.857,1856.926,2.007,-2.999,6.831
128,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-10.0,-10.0,True,False,6162,-0.001,-0.004,0.044,0.159,158.724,2.001,-2.996,4.956
129,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-10.0,-0.1,True,False,5085,-0.001,-0.004,0.044,0.159,158.724,2.001,-2.996,4.956
130,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-10.0,0.1,True,False,5045,-0.001,-0.004,0.044,0.159,158.724,2.001,-2.996,4.956
131,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-10.0,10.0,True,False,5062,-0.002,-0.004,-0.019,0.159,158.724,2.002,-2.996,5.019
132,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-0.1,-10.0,True,False,6164,-0.001,-0.004,0.044,0.159,158.723,2.001,-2.996,4.956
133,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-0.1,-0.1,True,False,5088,-0.001,-0.004,0.044,0.159,158.724,2.001,-2.996,4.956
134,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-0.1,0.1,True,False,5049,-0.001,-0.004,0.044,0.159,158.723,2.001,-2.996,4.956
135,<function <lambda> at 0x000001AC530CC378>,"[2, -3, 5]",1000,1e-06,-10.0,-0.1,10.0,True,False,5058,-0.002,-0.004,-0.019,0.159,158.724,2.002,-2.996,5.019
